"Countries","Years","Wages"
"Mexico",2010,2036.9
"Mexico",2011,2040
"Mexico",2012,2048.9
"Mexico",2013,2046.6
"Mexico",2014,2088.1
"Mexico",2015,2158.1
"Mexico",2016,2230.2
"Mexico",2017,2347
"Mexico",2018,2632.1
"Mexico",2019,3054.4
"Mexico",2020,3323.4
"Netherlands",2000,25518.5
"Netherlands",2001,25798.7
"Netherlands",2002,26056.9
"Netherlands",2003,25891.3
"Netherlands",2004,25461.5
"Netherlands",2005,25457.6
"Netherlands",2006,25649
"Netherlands",2007,25731.9
"Netherlands",2008,26261.8
"Netherlands",2009,26339.9
"Netherlands",2010,25920.3
"Netherlands",2011,25824.9
"Netherlands",2012,25506.7
"Netherlands",2013,25620.9
"Netherlands",2014,25663.2
"Netherlands",2015,26077.7
"Netherlands",2016,26185.2
"Netherlands",2017,26202.9
"Netherlands",2018,26167.7
"Netherlands",2019,26492.6
"Netherlands",2020,26205.9
"New Zealand",2000,14714.8
"New Zealand",2001,14823.1
"New Zealand",2002,15390.9
"New Zealand",2003,15923.6
"New Zealand",2004,16352.5
"New Zealand",2005,16972.6
"New Zealand",2006,18100.8
"New Zealand",2007,18697.6
"New Zealand",2008,19182.1
"New Zealand",2009,19224
"New Zealand",2010,18843.8
"New Zealand",2011,19276.7
"New Zealand",2012,19505.8
"New Zealand",2013,19885.2
"New Zealand",2014,20529
"New Zealand",2015,21094.5
"New Zealand",2016,21395.8
"New Zealand",2017,21817.4
"New Zealand",2018,22580.4
"New Zealand",2019,24253.5
"New Zealand",2020,24745.2
"Poland",2000,7154
"Poland",2001,7020.3
"Poland",2002,7339.7
"Poland",2003,7312.5
"Poland",2004,7373.3
"Poland",2005,7708.6
"Poland",2006,7833.2
"Poland",2007,9046.5
"Poland",2008,9876.8
"Poland",2009,9937.7
"Poland",2010,10033
"Poland",2011,10484.9
"Poland",2012,11074
"Poland",2013,11621.5
"Poland",2014,12212.5
"Poland",2015,12996.7
"Poland",2016,13764.8
"Poland",2017,14195.6
"Poland",2018,14878.2
"Poland",2019,16631.4
"Poland",2020,17048.9
"Portugal",2000,9897.4
"Portugal",2001,9948.4
"Portugal",2002,9876
"Portugal",2003,9877.9
"Portugal",2004,9911.9
"Portugal",2005,9895.3
"Portugal",2006,10091.6
"Portugal",2007,10398.3
"Portugal",2008,11076.7
"Portugal",2009,11530.4
"Portugal",2010,11358.1
"Portugal",2011,11051.6
"Portugal",2012,11021.4
"Portugal",2013,11052.1
"Portugal",2014,11452.1
"Portugal",2015,11946.4
"Portugal",2016,12385.5
"Portugal",2017,12770.1
"Portugal",2018,13165.9
"Portugal",2019,13935.6
"Portugal",2020,14411.6
"Slovak Republic",2000,4807.8
"Slovak Republic",2001,5230.6
"Slovak Republic",2002,5401.4
"Slovak Republic",2003,5452.1
"Slovak Republic",2004,5664.4
"Slovak Republic",2005,5811.5
"Slovak Republic",2006,6175.2
"Slovak Republic",2007,6190.4
"Slovak Republic",2008,6695.3
"Slovak Republic",2009,6905.7
"Slovak Republic",2010,6846.1
"Slovak Republic",2011,6820.4
"Slovak Republic",2012,6942
"Slovak Republic",2013,7241.5
"Slovak Republic",2014,7843.1
"Slovak Republic",2015,8402.7
"Slovak Republic",2016,8908.3
"Slovak Republic",2017,9588.8
"Slovak Republic",2018,10118.2
"Slovak Republic",2019,11071.3
"Slovak Republic",2020,11529
"Slovenia",2000,10800.9
"Slovenia",2001,11204.8
"Slovenia",2002,11573
"Slovenia",2003,11952.6
"Slovenia",2004,12243.3
"Slovenia",2005,12348.8
"Slovenia",2006,12211.6
"Slovenia",2007,12488.1
"Slovenia",2008,12846.3
"Slovenia",2009,15147.4
"Slovenia",2010,15599
"Slovenia",2011,15555.8
"Slovenia",2012,15698.7
"Slovenia",2013,15768
"Slovenia",2014,15892.3
"Slovenia",2015,15901
"Slovenia",2016,15959.1
"Slovenia",2017,16423.6
"Slovenia",2018,17000.7
"Slovenia",2019,18045.1
"Slovenia",2020,19280.5
"Spain",2000,12548.7
"Spain",2001,12421.2
"Spain",2002,12300.3
"Spain",2003,12183.5
"Spain",2004,12846.1
"Spain",2005,13374.1
"Spain",2006,13725.9
"Spain",2007,13868
"Spain",2008,14464.3
"Spain",2009,14420.4
"Spain",2010,14152.5
"Spain",2011,13814.5
"Spain",2012,13705.5
"Spain",2013,13726.2
"Spain",2014,13865.8
"Spain",2015,14032.8
"Spain",2016,14869.1
"Spain",2017,15206.9
"Spain",2018,18468.7
"Spain",2019,19557.9
"Spain",2020,18971.1
"Türkiye",2000,5927.3
"Türkiye",2001,6352.1
"Türkiye",2002,6760.5
"Türkiye",2003,8820.6
"Türkiye",2004,9190.3
"Türkiye",2005,9111.4
"Türkiye",2006,9052.3
"Türkiye",2007,8907.7
"Türkiye",2008,9135.9
"Türkiye",2009,9223.1
"Türkiye",2010,9499.9
"Türkiye",2011,9757.6
"Türkiye",2012,9937.5
"Türkiye",2013,10064.4
"Türkiye",2014,10491.9
"Türkiye",2015,12956.4
"Türkiye",2016,12580.9
"Türkiye",2017,12347.9
"Türkiye",2018,13514.8
"Türkiye",2019,13846.2
"Türkiye",2020,14073.4
"United Kingdom",2000,15081.7
"United Kingdom",2001,16133.7
"United Kingdom",2002,16502.4
"United Kingdom",2003,17458.3
"United Kingdom",2004,18271.8
"United Kingdom",2005,18641.3
"United Kingdom",2006,19166.2
"United Kingdom",2007,19140.7
"United Kingdom",2008,19359.9
"United Kingdom",2009,19166.9
"United Kingdom",2010,18876
"United Kingdom",2011,18837
"United Kingdom",2012,18754.2
"United Kingdom",2013,18899.3
"United Kingdom",2014,19393.1
"United Kingdom",2015,21106.6
"United Kingdom",2016,21219.9
"United Kingdom",2017,21640.5
"United Kingdom",2018,22288
"United Kingdom",2019,23360.8
"United Kingdom",2020,23512.5
"United States",2000,16392.9
"United States",2001,16136.9
"United States",2002,15778.7
"United States",2003,15367.3
"United States",2004,14863
"United States",2005,14398.6
"United States",2006,14833
"United States",2007,16117
"United States",2008,18013.5
"United States",2009,18739.4
"United States",2010,18165.9
"United States",2011,17797.6
"United States",2012,17540.7
"United States",2013,17260.7
"United States",2014,17240.2
"United States",2015,17025.4
"United States",2016,16670.3
"United States",2017,16272.9
"United States",2018,15983.2
"United States",2019,15788.4
"United States",2020,15080
"Brazil",2000,2731
"Brazil",2001,2842.5
"Brazil",2002,2922.7
"Brazil",2003,3020
"Brazil",2004,3197.7
"Brazil",2005,3613.5
"Brazil",2006,3848.1
"Brazil",2007,3999.8
"Brazil",2008,4294.9
"Brazil",2009,4525.1
"Brazil",2010,4527.8
"Brazil",2011,4910.1
"Brazil",2012,5039.5
"Brazil",2013,5061.1
"Brazil",2014,5052.3
"Brazil",2015,5188.7
"Brazil",2016,5340.7
"Brazil",2017,5245.4
"Brazil",2018,5289.8
"Brazil",2019,5366.6
"Brazil",2020,5216
"Russian Federation",2000,589.1
"Russian Federation",2001,814
"Russian Federation",2002,872.8
"Russian Federation",2003,968.7
"Russian Federation",2004,1060.2
"Russian Federation",2005,1437.1
"Russian Federation",2006,2756.5
"Russian Federation",2007,2415.7
"Russian Federation",2008,4073.3
"Russian Federation",2009,3812.2
"Russian Federation",2010,3648.6
"Russian Federation",2011,3562.8
"Russian Federation",2012,3767.3
"Russian Federation",2013,3728.3
"Russian Federation",2014,3465.2
"Russian Federation",2015,3367.5
"Russian Federation",2016,4004.8
"Russian Federation",2017,5396.5
"Russian Federation",2018,5494.4
"Russian Federation",2019,5715.1
"Russian Federation",2020,5648.9
