"","indicator","group","state","subgroup","phase","time_period","time_period_label","time_period_start_date","time_period_end_date","value","lowci","highci","confidence_interval","quartile_range"
"21","Symptoms of Anxiety Disorder","By Sex","United States","Male","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","25.4","24.4","26.3","24.4 - 26.3",NA
"22","Symptoms of Anxiety Disorder","By Sex","United States","Female","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","33.2","32.3","34.2","32.3 - 34.2",NA
"23","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Male","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","30.3","29.1","31.5","29.1 - 31.5",NA
"24","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Female","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","38.1","37","39.2","37.0 - 39.2",NA
"25","Symptoms of Depressive Disorder","By Sex","United States","Male","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","23","22","23.9","22.0 - 23.9",NA
"26","Symptoms of Depressive Disorder","By Sex","United States","Female","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","27.4","26.6","28.2","26.6 - 28.2",NA
"27","Symptoms of Anxiety Disorder","By Sex","United States","Male","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","26","25.1","26.8","25.1 - 26.8",NA
"28","Symptoms of Anxiety Disorder","By Sex","United States","Female","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","35","34.3","35.8","34.3 - 35.8",NA
"29","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Male","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","31.1","30.2","32.1","30.2 - 32.1",NA
"30","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Female","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","39.6","38.9","40.3","38.9 - 40.3",NA
