"","indicator","group","state","subgroup","phase","time_period","time_period_label","time_period_start_date","time_period_end_date","value","lowci","highci","confidence_interval","quartile_range"
"57","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","18 - 29 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","47.7","45.1","50.4","45.1 - 50.4",NA
"58","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","30 - 39 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","37.8","35.7","39.9","35.7 - 39.9",NA
"59","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","40 - 49 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","35.3","33.5","37.1","33.5 - 37.1",NA
"60","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","50 - 59 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","33.7","31.8","35.7","31.8 - 35.7",NA
"61","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","60 - 69 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","26.4","24.7","28.1","24.7 - 28.1",NA
"62","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","70 - 79 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","18.3","16.3","20.4","16.3 - 20.4",NA
"63","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","80 years and above","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","17.1","13.4","21.5","13.4 - 21.5",NA
"64","Symptoms of Depressive Disorder","By Age","United States","18 - 29 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","36.7","34","39.4","34.0 - 39.4",NA
"65","Symptoms of Depressive Disorder","By Age","United States","30 - 39 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","27.4","25.9","28.9","25.9 - 28.9",NA
"66","Symptoms of Depressive Disorder","By Age","United States","40 - 49 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","24.2","22.8","25.7","22.8 - 25.7",NA
"67","Symptoms of Depressive Disorder","By Age","United States","50 - 59 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","24.6","23","26.2","23.0 - 26.2",NA
"68","Symptoms of Depressive Disorder","By Age","United States","60 - 69 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","19.8","18.5","21.2","18.5 - 21.2",NA
"69","Symptoms of Depressive Disorder","By Age","United States","70 - 79 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","13.3","11.2","15.6","11.2 - 15.6",NA
"70","Symptoms of Depressive Disorder","By Age","United States","80 years and above","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","17.1","11.1","24.7","11.1 - 24.7",NA
"71","Symptoms of Anxiety Disorder","By Age","United States","18 - 29 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","39.1","36.8","41.3","36.8 - 41.3",NA
"72","Symptoms of Anxiety Disorder","By Age","United States","30 - 39 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","35.2","33.7","36.8","33.7 - 36.8",NA
"73","Symptoms of Anxiety Disorder","By Age","United States","40 - 49 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","31.4","29.8","33.1","29.8 - 33.1",NA
"74","Symptoms of Anxiety Disorder","By Age","United States","50 - 59 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","29.3","27.8","31","27.8 - 31.0",NA
"75","Symptoms of Anxiety Disorder","By Age","United States","60 - 69 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","22.2","20.7","23.8","20.7 - 23.8",NA
"76","Symptoms of Anxiety Disorder","By Age","United States","70 - 79 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","15","13.1","17","13.1 - 17.0",NA
"77","Symptoms of Anxiety Disorder","By Age","United States","80 years and above","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","17.1","10.9","25.1","10.9 - 25.1",NA
"78","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","18 - 29 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","46.6","44","49.2","44.0 - 49.2",NA
"79","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","30 - 39 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","39.5","37.9","41.1","37.9 - 41.1",NA
"80","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","40 - 49 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","35.7","34.2","37.4","34.2 - 37.4",NA
"81","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","50 - 59 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","33.7","32","35.4","32.0 - 35.4",NA
"82","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","60 - 69 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","27.4","25.7","29.1","25.7 - 29.1",NA
"83","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","70 - 79 years","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","18.8","16.5","21.2","16.5 - 21.2",NA
"84","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","80 years and above","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","20.1","14","27.5","14.0 - 27.5",NA
"85","Symptoms of Depressive Disorder","By Age","United States","18 - 29 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","36.8","34.8","38.8","34.8 - 38.8",NA
"86","Symptoms of Depressive Disorder","By Age","United States","30 - 39 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","27.9","26.6","29.2","26.6 - 29.2",NA
"87","Symptoms of Depressive Disorder","By Age","United States","40 - 49 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","25.7","24.2","27.3","24.2 - 27.3",NA
"88","Symptoms of Depressive Disorder","By Age","United States","50 - 59 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","25.1","23.4","26.8","23.4 - 26.8",NA
"89","Symptoms of Depressive Disorder","By Age","United States","60 - 69 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","18","16.7","19.3","16.7 - 19.3",NA
"90","Symptoms of Depressive Disorder","By Age","United States","70 - 79 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","15.5","13.5","17.6","13.5 - 17.6",NA
"91","Symptoms of Depressive Disorder","By Age","United States","80 years and above","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","14.9","10.7","20","10.7 - 20.0",NA
"92","Symptoms of Anxiety Disorder","By Age","United States","18 - 29 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","42.2","40.5","43.9","40.5 - 43.9",NA
"93","Symptoms of Anxiety Disorder","By Age","United States","30 - 39 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","35.8","34.5","37.2","34.5 - 37.2",NA
"94","Symptoms of Anxiety Disorder","By Age","United States","40 - 49 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","32.1","30.6","33.6","30.6 - 33.6",NA
"95","Symptoms of Anxiety Disorder","By Age","United States","50 - 59 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","29.3","27.8","30.9","27.8 - 30.9",NA
"96","Symptoms of Anxiety Disorder","By Age","United States","60 - 69 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","23","21.6","24.4","21.6 - 24.4",NA
"97","Symptoms of Anxiety Disorder","By Age","United States","70 - 79 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","18.2","15.9","20.7","15.9 - 20.7",NA
"98","Symptoms of Anxiety Disorder","By Age","United States","80 years and above","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","13.3","9.6","17.8","9.6 - 17.8",NA
"99","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","18 - 29 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","49.3","47.4","51.2","47.4 - 51.2",NA
"100","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","30 - 39 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","40.6","39.2","42","39.2 - 42.0",NA
"101","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","40 - 49 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","36.9","35.3","38.6","35.3 - 38.6",NA
"102","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","50 - 59 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","33.6","31.9","35.4","31.9 - 35.4",NA
"103","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","60 - 69 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","27","25.6","28.5","25.6 - 28.5",NA
"104","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","70 - 79 years","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","21.7","19.3","24.2","19.3 - 24.2",NA
"105","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","80 years and above","1","5","May 28 - June 2, 2020","2020-05-28T00:00:00.000","2020-06-02T00:00:00.000","19.2","14.7","24.4","14.7 - 24.4",NA
