"","indicator","group","state","subgroup","phase","time_period","time_period_label","time_period_start_date","time_period_end_date","value","lowci","highci","confidence_interval","quartile_range"
"37","Symptoms of Depressive Disorder","By State","Kentucky","Kentucky","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.2","19.4","27.4","19.4 - 27.4","22.2 - 24.0"
"38","Symptoms of Depressive Disorder","By State","Louisiana","Louisiana","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","28.1","24.1","32.4","24.1 - 32.4","24.1 - 28.7"
"39","Symptoms of Depressive Disorder","By State","Maine","Maine","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","19.5","16","23.5","16.0 - 23.5","16.5 - 20.7"
"40","Symptoms of Depressive Disorder","By State","Maryland","Maryland","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.9","17.9","24.1","17.9 - 24.1","20.8 - 22.1"
"41","Symptoms of Depressive Disorder","By State","Massachusetts","Massachusetts","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.9","22.7","29.4","22.7 - 29.4","24.1 - 28.7"
"42","Symptoms of Depressive Disorder","By State","Michigan","Michigan","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.5","22","29.4","22.0 - 29.4","24.1 - 28.7"
"43","Symptoms of Depressive Disorder","By State","Minnesota","Minnesota","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.4","17.7","23.4","17.7 - 23.4","16.5 - 20.7"
"44","Symptoms of Depressive Disorder","By State","Mississippi","Mississippi","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.9","18.7","27.6","18.7 - 27.6","22.2 - 24.0"
"45","Symptoms of Depressive Disorder","By State","Missouri","Missouri","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21","17.9","24.5","17.9 - 24.5","20.8 - 22.1"
"46","Symptoms of Depressive Disorder","By State","Montana","Montana","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","18.2","14.9","21.8","14.9 - 21.8","16.5 - 20.7"
"47","Symptoms of Depressive Disorder","By State","Nebraska","Nebraska","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","19.1","15.3","23.3","15.3 - 23.3","16.5 - 20.7"
"48","Symptoms of Depressive Disorder","By State","Nevada","Nevada","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.6","19.1","28.7","19.1 - 28.7","22.2 - 24.0"
"49","Symptoms of Depressive Disorder","By State","New Hampshire","New Hampshire","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","19.5","16.5","22.7","16.5 - 22.7","16.5 - 20.7"
"50","Symptoms of Depressive Disorder","By State","New Jersey","New Jersey","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.6","20.4","27","20.4 - 27.0","22.2 - 24.0"
"51","Symptoms of Depressive Disorder","By State","New Mexico","New Mexico","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.4","18.3","26.9","18.3 - 26.9","22.2 - 24.0"
"52","Symptoms of Depressive Disorder","By State","New York","New York","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","28.7","24.6","33.1","24.6 - 33.1","24.1 - 28.7"
"53","Symptoms of Depressive Disorder","By State","North Carolina","North Carolina","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.1","17.1","25.6","17.1 - 25.6","20.8 - 22.1"
"54","Symptoms of Depressive Disorder","By State","North Dakota","North Dakota","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","17","13.7","20.7","13.7 - 20.7","16.5 - 20.7"
"55","Symptoms of Depressive Disorder","By State","Ohio","Ohio","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.2","18.2","24.5","18.2 - 24.5","20.8 - 22.1"
"56","Symptoms of Depressive Disorder","By State","Oklahoma","Oklahoma","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.8","16.4","25.7","16.4 - 25.7","20.8 - 22.1"
"57","Symptoms of Depressive Disorder","By State","Oregon","Oregon","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.5","19.7","25.4","19.7 - 25.4","22.2 - 24.0"
"58","Symptoms of Depressive Disorder","By State","Pennsylvania","Pennsylvania","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.7","21.6","28.1","21.6 - 28.1","24.1 - 28.7"
"59","Symptoms of Depressive Disorder","By State","Rhode Island","Rhode Island","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.5","19.9","29.7","19.9 - 29.7","24.1 - 28.7"
"60","Symptoms of Depressive Disorder","By State","South Carolina","South Carolina","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.6","17.9","25.7","17.9 - 25.7","20.8 - 22.1"
"61","Symptoms of Depressive Disorder","By State","South Dakota","South Dakota","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","17.5","13","22.7","13.0 - 22.7","16.5 - 20.7"
"62","Symptoms of Depressive Disorder","By State","Tennessee","Tennessee","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.2","17.2","27.8","17.2 - 27.8","22.2 - 24.0"
"63","Symptoms of Depressive Disorder","By State","Texas","Texas","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.4","21.1","27.9","21.1 - 27.9","24.1 - 28.7"
"64","Symptoms of Depressive Disorder","By State","Utah","Utah","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.9","20","26","20.0 - 26.0","22.2 - 24.0"
"65","Symptoms of Depressive Disorder","By State","Vermont","Vermont","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.7","15.9","26.3","15.9 - 26.3","16.5 - 20.7"
"66","Symptoms of Depressive Disorder","By State","Virginia","Virginia","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.5","18","25.3","18.0 - 25.3","20.8 - 22.1"
"67","Symptoms of Depressive Disorder","By State","Washington","Washington","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.1","19.7","24.7","19.7 - 24.7","20.8 - 22.1"
"68","Symptoms of Depressive Disorder","By State","West Virginia","West Virginia","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.4","19.5","27.6","19.5 - 27.6","22.2 - 24.0"
"69","Symptoms of Depressive Disorder","By State","Wisconsin","Wisconsin","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22","19.2","25","19.2 - 25.0","20.8 - 22.1"
"70","Symptoms of Depressive Disorder","By State","Wyoming","Wyoming","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","18.9","15.3","22.9","15.3 - 22.9","16.5 - 20.7"
"71","Symptoms of Anxiety Disorder","National Estimate","United States","United States","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","30.8","30","31.7","30.0 - 31.7",NA
"72","Symptoms of Anxiety Disorder","By Age","United States","18 - 29 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","40.2","38.1","42.4","38.1 - 42.4",NA
"73","Symptoms of Anxiety Disorder","By Age","United States","30 - 39 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","34.4","32.6","36.1","32.6 - 36.1",NA
"74","Symptoms of Anxiety Disorder","By Age","United States","40 - 49 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","34.1","32.1","36.2","32.1 - 36.2",NA
"75","Symptoms of Anxiety Disorder","By Age","United States","50 - 59 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31","29","33.1","29.0 - 33.1",NA
"76","Symptoms of Anxiety Disorder","By Age","United States","60 - 69 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.9","23.6","26.3","23.6 - 26.3",NA
"77","Symptoms of Anxiety Disorder","By Age","United States","70 - 79 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","16.4","14.8","18.1","14.8 - 18.1",NA
"78","Symptoms of Anxiety Disorder","By Age","United States","80 years and above","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","14.6","11.5","18.2","11.5 - 18.2",NA
"79","Symptoms of Anxiety Disorder","By Sex","United States","Male","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.1","24.7","27.5","24.7 - 27.5",NA
"80","Symptoms of Anxiety Disorder","By Sex","United States","Female","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","35.4","34.5","36.3","34.5 - 36.3",NA
"81","Symptoms of Anxiety Disorder","By Race/Hispanic ethnicity","United States","Hispanic or Latino","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","36.3","33.4","39.2","33.4 - 39.2",NA
"82","Symptoms of Anxiety Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","29","28.2","29.9","28.2 - 29.9",NA
"83","Symptoms of Anxiety Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.8","30.3","35.5","30.3 - 35.5",NA
"84","Symptoms of Anxiety Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.3","23.6","29.1","23.6 - 29.1",NA
"85","Symptoms of Anxiety Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","38.2","34.3","42.3","34.3 - 42.3",NA
"86","Symptoms of Anxiety Disorder","By Education","United States","Less than a high school diploma","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","37.3","32.4","42.4","32.4 - 42.4",NA
"87","Symptoms of Anxiety Disorder","By Education","United States","High school diploma or GED","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","30.6","29","32.3","29.0 - 32.3",NA
"88","Symptoms of Anxiety Disorder","By Education","United States","Some college/Associate's degree","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","33.5","32","35.1","32.0 - 35.1",NA
"89","Symptoms of Anxiety Disorder","By Education","United States","Bachelor's degree or higher","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","27","26.3","27.8","26.3 - 27.8",NA
"90","Symptoms of Anxiety Disorder","By State","Alabama","Alabama","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.6","20.7","30.9","20.7 - 30.9","21.7 - 27.8"
"91","Symptoms of Anxiety Disorder","By State","Alaska","Alaska","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","27.7","24.8","30.7","24.8 - 30.7","21.7 - 27.8"
"92","Symptoms of Anxiety Disorder","By State","Arizona","Arizona","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.3","28","36.8","28.0 - 36.8","31.7 - 37.0"
"93","Symptoms of Anxiety Disorder","By State","Arkansas","Arkansas","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","33.7","28.2","39.6","28.2 - 39.6","31.7 - 37.0"
"94","Symptoms of Anxiety Disorder","By State","California","California","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","30.8","28.2","33.5","28.2 - 33.5","30.4 - 31.6"
"95","Symptoms of Anxiety Disorder","By State","Colorado","Colorado","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.6","29.2","36.2","29.2 - 36.2","31.7 - 37.0"
"96","Symptoms of Anxiety Disorder","By State","Connecticut","Connecticut","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","34.9","30","40","30.0 - 40.0","31.7 - 37.0"
"97","Symptoms of Anxiety Disorder","By State","Delaware","Delaware","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","29.9","25.5","34.6","25.5 - 34.6","27.9 - 30.3"
"98","Symptoms of Anxiety Disorder","By State","District of Columbia","District of Columbia","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.4","27.9","35.1","27.9 - 35.1","30.4 - 31.6"
"99","Symptoms of Anxiety Disorder","By State","Florida","Florida","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.6","29.7","35.6","29.7 - 35.6","31.7 - 37.0"
"100","Symptoms of Anxiety Disorder","By State","Georgia","Georgia","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.9","28.1","35.9","28.1 - 35.9","31.7 - 37.0"
"101","Symptoms of Anxiety Disorder","By State","Hawaii","Hawaii","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.3","27.1","37.8","27.1 - 37.8","31.7 - 37.0"
"102","Symptoms of Anxiety Disorder","By State","Idaho","Idaho","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.9","23.7","30.2","23.7 - 30.2","21.7 - 27.8"
"103","Symptoms of Anxiety Disorder","By State","Illinois","Illinois","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.1","27","35.4","27.0 - 35.4","30.4 - 31.6"
"104","Symptoms of Anxiety Disorder","By State","Indiana","Indiana","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.8","27.5","36.4","27.5 - 36.4","31.7 - 37.0"
"105","Symptoms of Anxiety Disorder","By State","Iowa","Iowa","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.5","19","26.2","19.0 - 26.2","21.7 - 27.8"
"106","Symptoms of Anxiety Disorder","By State","Kansas","Kansas","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.4","22","31.2","22.0 - 31.2","21.7 - 27.8"
"107","Symptoms of Anxiety Disorder","By State","Kentucky","Kentucky","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.6","28.1","35.3","28.1 - 35.3","30.4 - 31.6"
"108","Symptoms of Anxiety Disorder","By State","Louisiana","Louisiana","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","34.4","29.7","39.3","29.7 - 39.3","31.7 - 37.0"
"109","Symptoms of Anxiety Disorder","By State","Maine","Maine","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","29.5","25.9","33.3","25.9 - 33.3","27.9 - 30.3"
"110","Symptoms of Anxiety Disorder","By State","Maryland","Maryland","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","27.7","24.6","31.1","24.6 - 31.1","21.7 - 27.8"
"111","Symptoms of Anxiety Disorder","By State","Massachusetts","Massachusetts","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","37","33.3","40.7","33.3 - 40.7","31.7 - 37.0"
"112","Symptoms of Anxiety Disorder","By State","Michigan","Michigan","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.5","28.6","36.7","28.6 - 36.7","31.7 - 37.0"
"113","Symptoms of Anxiety Disorder","By State","Minnesota","Minnesota","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","28.5","25.2","32","25.2 - 32.0","27.9 - 30.3"
"114","Symptoms of Anxiety Disorder","By State","Mississippi","Mississippi","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","30.3","24.7","36.3","24.7 - 36.3","27.9 - 30.3"
"115","Symptoms of Anxiety Disorder","By State","Missouri","Missouri","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","30.4","25.8","35.4","25.8 - 35.4","30.4 - 31.6"
"116","Symptoms of Anxiety Disorder","By State","Montana","Montana","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.8","19.6","26.3","19.6 - 26.3","21.7 - 27.8"
"117","Symptoms of Anxiety Disorder","By State","Nebraska","Nebraska","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.2","20.6","28","20.6 - 28.0","21.7 - 27.8"
"118","Symptoms of Anxiety Disorder","By State","Nevada","Nevada","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.4","27.3","35.7","27.3 - 35.7","30.4 - 31.6"
"119","Symptoms of Anxiety Disorder","By State","New Hampshire","New Hampshire","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.3","27.1","35.7","27.1 - 35.7","30.4 - 31.6"
"120","Symptoms of Anxiety Disorder","By State","New Jersey","New Jersey","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31.4","28.2","34.7","28.2 - 34.7","30.4 - 31.6"
"121","Symptoms of Anxiety Disorder","By State","New Mexico","New Mexico","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","27.9","23.9","32.2","23.9 - 32.2","27.9 - 30.3"
"122","Symptoms of Anxiety Disorder","By State","New York","New York","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","36.1","32.1","40.2","32.1 - 40.2","31.7 - 37.0"
